選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"松木平　優太","中日ドラゴンズ","大阪","O","6","900万円（推定）","直球とチェンジアップの緩急が光る右腕。昨季は右足首の故障で出遅れ、5月に実戦復帰。二軍で防御率3.00を記録するも、一軍での登板は1試合のみに終わった。今季はキャンプから万全の状態で臨み、ローテーション争いに加わりたい。"
"松本　竜也","広島東洋カープ","奈良","A","5","1,100万円（推定）","伸びのある真っすぐが持ち味の右腕。昨季は二軍で31試合に登板し、防御率2.81をマーク。一軍では7月に4試合でマウンドに上がるも、思うような結果を残せなかった。今季は春先からアピールを重ね、首脳陣の信頼をつかみたい。"
"森浦　大輔","広島東洋カープ","和歌山","O","6","11,000万円（推定）","チェンジアップで打者のタイミングを外す左腕。昨季はキャリアハイの60試合に登板し、防御率1.63を記録。後半戦からは抑えを務め、最終的に25ホールド、12セーブを挙げた。今季も救援陣の柱として、大車輪の活躍を見せる。"
"Ｍ．サノー","中日ドラゴンズ","ドミニカ共和国","不明","1","","パワフルなスイングで打球をスタンドに運ぶ助っ人。メジャーでは通算722試合に出場。シーズン30発を2度達成するなど、計164本塁打を放った実績を誇る。新天地でも自慢のパワーを見せつけ、多くの得点を生み出す。"
"Ａ．アブレウ","中日ドラゴンズ","ドミニカ共和国","不明","2","","150キロ台中盤の速球で打者を押し込む助っ人右腕。西武に所属した2024年には、52登板で11ホールド、28セーブを記録した。再びNPBの舞台に上がる今季は、首脳陣の起用に応えてチームの勝利に貢献したい。"
"Ｅ．ラミレス","埼玉西武ライオンズ","ドミニカ共和国","不明","2","","キレのある変化球で空振りを奪う右腕。来日1年目の昨季は開幕から救援陣の一員として躍動。夏場に故障離脱はあったものの、23試合連続無失点を記録するなど力を示した。今季は年間を通して腕を振るい、チームの勝利に貢献したい。"
"Ｅ．ルーカス","阪神タイガース","アメリカ","不明","1","","150キロを超える速球を軸に投球を組み立てる助っ人左腕。マイナーでは通算165試合に登板。2023年にメジャーデビューを果たし、昨季は6登板で3勝をマークした。来日1年目から投手陣の力となり、チームの勝利に貢献する。"
"Ｔ．ハーン","広島東洋カープ","アメリカ","不明","3","","150キロを超える速球で打者を封じる剛腕助っ人。来日2年目の昨季はシーズン序盤こそ安定感を欠くも、最終的に55試合にリリーフ登板。21ホールド、8セーブをマークした。今季も勝ちパターンの一翼を担い、フル回転の活躍を誓う。"
"下川　隼佑","東京ヤクルトスワローズ","神奈川","A","2","900万円（推定）","緩急を駆使して打者のタイミングを外すアンダーハンド。育成選手としてヤクルトに加入した昨季は、5月に支配下契約を締結。8月にはプロ初勝利を挙げるなど、着実に経験を積んだ。今季は投球術に磨きをかけ、出番をさらに増やしたい。"
"中村　剛也","埼玉西武ライオンズ","大阪","O","25","7,500万円（推定）","歴代屈指のパワーヒッター。昨季はシーズン序盤こそ活躍が光るも、6月から成績が低迷。7月7日の登録抹消後は、二軍でも結果を残せなかった。25年目を迎える今季は本来の打棒を取り戻し、より多くのアーチを描きたい。"
"髙木　快大","広島東洋カープ","愛知","A","1","","伸びのある直球を投げ込むルーキー右腕。中京大では3年春のリーグ戦で完全試合を達成。4年秋は右肘の不調でマウンドに上がれず、11月にトミー・ジョン手術を受けた。近い将来の実戦デビューを目指し、今季はリハビリに励みたい。"
"辻　大雅","広島東洋カープ","神奈川","A","4","800万円（推定）","勢いのある直球で三振を奪う育成出身左腕。昨季は7月下旬に支配下登録を勝ち取ると、8月に一軍デビュー。以降は16試合に登板し、防御率1.13と好投を続けた。今季はより一層のスケールアップを図り、出番の増加につなげたい。"
"髙野　颯太","東京ヤクルトスワローズ","島根","A","3","320万円（推定）","思い切りの良いスイングが魅力の育成内野手。昨季は二軍で77試合に出場するも、打率.130と振るわず。本塁打もゼロに終わるなど、持ち前の長打力は鳴りを潜めた。今季はあらゆる面でレベルアップを果たし、支配下登録をつかみたい。"
"糸原　健斗","阪神タイガース","島根","O","10","5,500万円（推定）","豊富な経験を誇るベテラン内野手。9年目の昨季は、主に代打として61試合に出場。打率は.203にとどまり、満足のいくシーズンとはならなかった。今季は持ち前の粘り強い打撃を取り戻し、チームの勝利に貢献したい。"
"梅津　晃大","中日ドラゴンズ","宮城","B","8","400万円（推定）","力強いストレートが持ち味の右腕。昨季は春先から右肩の状態が上がらず、7月に同箇所を手術。公式戦での登板がないままシーズンを終え、オフには育成契約を結んだ。今季は患部のリハビリに注力し、万全のコンディションを取り戻したい。"
"石川　大峨","中日ドラゴンズ","静岡","不明","1","","パワフルなスイングが魅力の育成内野手。掛川西高では1年秋からレギュラーとなり、2年時には夏の甲子園に出場。1回戦では2点タイムリーを含む2安打の活躍を見せた。プロでも1年目から打力をアピールし、実戦で手応えをつかみたい。"
"茨木　秀俊","阪神タイガース","北海道","A","4","550万円（推定）","質の良いボールを投げ込む若手右腕。昨季は上半身のコンディション不良で出遅れるも、9月下旬に一軍デビュー。2試合を無失点に抑えるなど、能力の一端を示した。今季は投球の精度を高め、より一層の飛躍を目指す。"
"伊藤　琉偉","東京ヤクルトスワローズ","群馬","O","3","1,400万円（推定）","積極的なプレーが持ち味の内野手。昨季は4月20日にプロ初ヒットとサヨナラ打を記録する印象的な活躍を披露。バットで存在感を示し、87試合に出場と大きく出番を増やした。今季も首脳陣の起用に応え、チームの勝利に貢献する。"
"中村　奨成","広島東洋カープ","広島","B","9","3,000万円（推定）","非凡なバッティングセンスを誇る地元出身外野手。昨季は主に1番打者を務め、自己最多の104試合に出場。打率.282、9本塁打をマークするなど、持ち味を存分に発揮した。今季はさらなる成長を遂げ、レギュラーの座を守りきる。"
"根尾　昂","中日ドラゴンズ","岐阜","O","8","1,050万円（推定）","キレのある速球とスライダーで勝負する右腕。リリーフに専念した昨季は、二軍で42試合に登板。防御率2.68を記録するも、一軍での登板はわずか4試合に終わった。背水の陣で臨む今季は持ち球の精度を高め、出番を勝ち取りたい。"
"津田　啓史","中日ドラゴンズ","熊本","O","3","420万円（推定）","走攻守すべてで高い能力を秘める内野手。昨季は一軍デビューを果たすも、出場は5試合止まり。二軍でも打率.229と前年からの成長を示せず、オフには育成契約を結んだ。今季は春先から実戦で結果を残し、早期の支配下復帰を狙う。"
"濱岡　蒼太","埼玉西武ライオンズ","神奈川","A","1","","カットボールなど多彩な変化球を投げ分ける新人左腕。川和高ではエースとしてチームをけん引。昨年9月に受けた西武の入団テストに合格し、ドラフトで育成指名を受けた。プロでも地道な鍛錬を重ね、技術を磨いていく。"
"成田　晴風","埼玉西武ライオンズ","青森","AB","3","650万円（推定）","快速球が持ち味の若手右腕。昨季は前年に受けた頸椎（けいつい）の手術の影響からフォーム固めに注力。秋季教育リーグでは威力抜群のボールを投げ込み、存在感を示した。高卒3年目の今季は公式戦デビューを見据え、鍛錬を重ねる。"
"川越　誠司","中日ドラゴンズ","北海道","A","11","1,400万円（推定）","思い切りの良いスイングが特徴の外野手。昨季は主に代打として起用されるも、打率1割台と振るわず。持ち前の長打力も鳴りを潜めた。今季は自身のバッティングを見つめ直し、出場機会を増やしたい。"
"熊谷　敬宥","阪神タイガース","宮城","A","9","3,000万円（推定）","華麗な守備が光るユーティリティー。昨季はプロ初本塁打を放つなど、バットでアピールに成功。自己最多の37試合にスタメン出場し、バックアップ要員からの脱却を果たした。今季は打撃をより一層磨き、定位置確保に挑む。"
"狩生　聖真","埼玉西武ライオンズ","大分","A","2","700万円（推定）","ストレートとチェンジアップの緩急が武器の若手右腕。高卒1年目の昨季は主に三軍で登板。二軍では1試合に先発し、5イニングで5奪三振を記録した。今季は実戦でアピールを重ね、一軍デビューに向けて前進したい。"
"岡林　勇希","中日ドラゴンズ","三重","O","7","15,000万円（推定）","昨季は12球団唯一のフルイニング出場を達成し、リーグ最多の168安打をマーク。ベストナインとゴールデングラブ賞にも輝くなど、充実したシーズンを送った。今季も走攻守にわたる活躍を見せ、チームをAクラスへと導きたい。"
"勝田　成","広島東洋カープ","大阪","B","1","","非凡な野球センスを誇る新人内野手。近畿大ではリーグ戦で通算83試合に出場し、打率.344、32盗塁をマーク。4年時は春秋ともに無失策と、堅実な守備にも定評がある。プロでも持ち味を存分に発揮し、定位置争いに加わりたい。"
"久保　修","広島東洋カープ","大阪","A","4","700万円（推定）","守備範囲の広さに定評がある俊足外野手。昨季は二軍で公式戦初アーチを放つも、打率.232とアピールできず。一軍の出場は前年を下回る17試合にとどまった。今季は打撃面で成長を見せ、定位置争いに割って入りたい。"
"松本　航","埼玉西武ライオンズ","兵庫","AB","8","4,000万円（推定）","伸びのあるストレートが武器の右腕。昨季は二軍で先発を中心に17試合に登板。防御率2.45とまずまずの成績を残すも、一軍登板は自己最少の3試合にとどまった。今季は2年ぶりの白星をつかみ、チームの戦力として躍動したい。"
"長谷川　信哉","埼玉西武ライオンズ","京都","B","6","3,400万円（推定）","パンチ力のある打撃と俊足を生かした守備が魅力の外野手。昨季は自己最多の132試合に出場。規定打席到達を果たすも、打率.225と満足のいく成績は残せなかった。今季は打撃の確実性を高め、レギュラーの座を確固たるものとしたい。"
"福永　裕基","中日ドラゴンズ","滋賀","AB","4","2,700万円（推定）","シャープなスイングで広角に打球を飛ばす内野手。昨季は度重なる故障の影響で、出場は自己最少の20試合止まり。打率.173、1本塁打に終わるなど、不完全燃焼の1年だった。今季はコンディションに気を配り、一軍の戦力となりたい。"
"日渡　騰輝","中日ドラゴンズ","茨城","O","3","300万円（推定）","強肩を生かしたスローイングが売りの育成キャッチャー。昨季は二軍で前年を上回る26試合に出場。オフには秋季教育リーグにも参加するなど、数々の経験を積んだ。3年目の今季は実戦で結果を残し、支配下登録をつかみたい。"
"阪口　皓亮","東京ヤクルトスワローズ","大阪","O","9","1,200万円（推定）","多彩な変化球でゴロを打たせる投球が持ち味の右腕。昨季は開幕一軍入りを果たし、自己最多の18試合に登板。ロングリリーフもこなすなど、チームに貢献した。今季は首脳陣の信頼を高め、一軍での登板機会を増やしたい。"
"工藤　泰成","阪神タイガース","秋田","A","2","840万円（推定）","剛速球を武器に打者と勝負する若手右腕。ルーキーイヤーの昨季は春先からアピールに成功し、3月に支配下選手へ昇格。一軍で18試合に登板するなど、貴重な経験を積んだ。今季も力強い投球を続け、年間を通して一軍の戦力となりたい。"
"小林　結太","広島東洋カープ","岡山","A","1","","軽快なフットワークと正確な送球が売りの育成捕手。広角に強い打球を放つバッティングも魅力で、城西大では4年秋のリーグ戦で4割を超える打率を記録した。まずは二軍で結果を残し、早期の支配下登録を目指す。"
"古賀　悠斗","埼玉西武ライオンズ","福岡","A","5","6,600万円（推定）","強肩から鋭い送球を繰り出すキャッチャー。昨季は自己最多の112試合に出場。盗塁阻止率は低迷するも、打撃面ではキャリアハイの7本塁打を放った。今季は攻守に磨きをかけ、扇の要としてチームを引っ張りたい。"
"坂本　拓己","東京ヤクルトスワローズ","北海道","A","4","580万円（推定）","150キロ前後のストレートを投げ込む若手左腕。高卒3年目の昨季は二軍で17試合に登板。シーズン終盤には一軍デビューを果たすなど、実りのあるシーズンとなった。今季はより一層のステップアップを遂げ、プロ初勝利を狙う。"
"持丸　泰輝","広島東洋カープ","北海道","A","7","550万円（推定）","シュアなバッティングを見せる捕手。昨季は二軍で50試合に出場するも、打率が1割台に低迷。3年続けて一軍出場がゼロに終わる悔しいシーズンとなった。正念場を迎える今季はあらゆる面でスキルアップを図り、実戦で結果を残したい。"
"三浦　大輝","埼玉西武ライオンズ","愛知","A","4","400万円（推定）","切れ味抜群のスライダーで打者を封じる育成右腕。昨季は5月下旬に二軍での出番をつかみ、18試合に登板。24イニングを投げて28奪三振、防御率1.50を記録した。4年目の今季は春先からアピールを続け、念願の支配下昇格を狙う。"
"篠﨑　国忠","中日ドラゴンズ","東京","不明","1","","150キロ超のストレートを連発する大型新人右腕。昨季は四国アイランドリーグplusの徳島でプレー。投球回を上回る奪三振数を記録するなど、能力の高さを示した。NPBでも鍛錬を続け、存在感を放ちたい。"
"横田　蒼和","埼玉西武ライオンズ","埼玉","O","1","","強打が魅力の新人内野手。高校3年夏の埼玉大会では、投手としてマウンドにも上がりながら打率.462をマーク。2本塁打を放つなど、持ち前の打棒を披露した。将来の主力となるべく、1年目から二軍で多くの出場機会を得たい。"
"味谷　大誠","中日ドラゴンズ","大阪","A","5","610万円（推定）","強肩を生かしたスローイングが武器の5年目捕手。昨季は二軍で前年を上回る61試合に出場。一軍ではシーズン終盤にスタメンマスクをかぶるなど、貴重な経験を積んだ。今季はバットで存在感を示し、より多くの出番を勝ち取りたい。"
"渡部　聖弥","埼玉西武ライオンズ","広島","O","2","3,100万円（推定）","パンチ力のある打撃が持ち味のスラッガー。昨季はルーキーながら5番・レフトで開幕スタメン入り。2度の故障離脱を経験するも、チーム2位の12本塁打を放った。今季はコンディションに気を配りつつ、年間を通して打線を引っ張りたい。"
"山村　崇嘉","埼玉西武ライオンズ","東京","O","6","2,300万円（推定）","思い切りの良い打撃が魅力の若手内野手。昨季は自己最多の71試合に出場。キャリアハイの4本塁打を放ち、9月以降は多くの試合でスタメンに名を連ねた。今季は好不調の波を小さくし、レギュラーの座をつかみ取りたい。"
"Ｃ．ディベイニー","阪神タイガース","アメリカ","不明","1","","引っ張り方向に大きな放物線を描く内野手。昨季はマイナーで主にショートを務め、打っては103試合で20本塁打を記録。シーズン終盤にはメジャーデビューも果たした。新天地でも攻守に躍動し、チームのリーグ連覇に貢献したい。"
"Ｊ．ボスラー","中日ドラゴンズ","アメリカ","不明","2","","自慢のパワーで長打を連発する助っ人スラッガー。来日1年目の昨季は、122試合に出場して13本塁打を記録。チームトップタイの58打点を挙げる活躍を見せた。今季も打線の中軸を担い、より多くのアーチを描きたい。"
"高橋　周平","中日ドラゴンズ","神奈川","O","15","6,000万円（推定）","広角に鋭い打球を放つ15年目内野手。昨季は6月の試合で左肘を負傷。長期離脱を余儀なくされ、わずか41試合の出場にとどまった。今季は万全のコンディションでシーズンを迎え、若手に負けない働きを見せたい。"
"髙橋　遥人","阪神タイガース","静岡","A","9","3,000万円（推定）","左腕の手術を経て臨んだ昨季は、7月中旬に一軍へ合流。10月17日のクライマックスシリーズでは、8回1死までノーヒットに抑える好投を披露した。今季は万全の状態を保ち、年間を通してローテーションの一翼を担いたい。"
"知野　直人","中日ドラゴンズ","新潟","A","8","1,000万円（推定）","選球眼と脚力が武器のユーティリティー。DeNAでプレーした昨季は8月に2年ぶりとなる本塁打を放つも、打率.176と振るわず。前年を下回る8試合の出場に終わった。中日に移籍して迎える今季は打撃を磨き直し、一軍に定着したい。"
"佐野　大陽","阪神タイガース","静岡","A","2","730万円（推定）","堅実な守備とミート力に定評のある内野手。1年目の昨季は、二軍で91試合に出場して打率.266を記録。内野の全ポジションに就くなど、貴重な経験を積んだ。今季は走攻守すべての面でレベルアップを果たし、一軍デビューに備える。"
"新保　茉良","中日ドラゴンズ","大阪","不明","1","","巧みなグラブさばきと強肩が魅力の新人内野手。東北福祉大では4年春にレギュラー定着。6月の全日本大学野球選手権では、本塁打を放つなどチームの優勝に貢献した。まずは持ち味の守備でアピールし、1年目から出場機会を勝ち取りたい。"
"杉山　遙希","埼玉西武ライオンズ","東京","O","3","700万円（推定）","低めに集める制球力が持ち味の若手左腕。昨季は二軍で主に先発を務めるも、防御率4.44と苦戦。一軍でも1試合の登板で4回9失点と悔しい結果に終わった。3年目の今季は一層のレベルアップを図り、プロ初勝利を目指す。"
"石橋　康太","中日ドラゴンズ","千葉","A","8","1,060万円（推定）","ミート力と強肩を兼ね備えるキャッチャー。昨季は主に二軍でプレーして打率.305を記録するも、一軍での出場は10試合にとどまった。今季はキャンプから首脳陣にアピールし、多くの出場機会を勝ち取りたい。"
"有馬　惠叶","中日ドラゴンズ","愛媛","A","2","540万円（推定）","長身から角度のあるボールを投げ込む2年目右腕。昨季は二軍での登板こそなかったものの、練習試合や秋季教育リーグで実戦経験を積んだ。今季も鍛錬を重ね、公式戦のマウンドで結果を残したい。"
"石川　昂弥","中日ドラゴンズ","愛知","O","7","2,300万円（推定）","強打が持ち味の7年目内野手。昨季は開幕戦で4番を務めるも、バッティングの状態が上がらず。22試合の出場でわずか1本塁打と、不本意な結果に終わった。今季は自身の打撃を見つめ直し、首脳陣の期待に応えたい。"
"安藤　銀杜","埼玉西武ライオンズ","愛知","O","1","","規格外の体格を誇る育成ルーキー。大学時代から投手としてプレーを続けていたものの、ポテンシャルの高さを評価され野手としてドラフト指名を受けた。1年目の今季はトレーニングに励み、プロで戦う土台を築きたい。"
"荘司　宏太","東京ヤクルトスワローズ","東京","AB","2","4,200万円（推定）","昨季は新人ながら主にセットアッパーとして45試合に登板し、防御率1.05の好成績をマーク。チームトップの28ホールドを挙げる活躍を披露し、見事新人王に輝いた。今季も大事な局面でマウンドに上がり、チームのリードを守り抜く。"
"立石　正広","阪神タイガース","山口","O","1","","類まれな打撃センスを誇るゴールデンルーキー。大学時代はリーグ戦のベストナインを4度受賞。2年春には三冠王に輝くなど、世代屈指のスラッガーとしてその名をとどろかせた。プロのレベルにいち早く慣れ、虎党の期待に応えたい。"
"竹山　日向","東京ヤクルトスワローズ","愛知","B","5","400万円（推定）","キレのあるストレートを軸に打者と勝負する若手右腕。昨季は二軍で防御率6点台と振るわず。3年連続で一軍登板ゼロに終わり、オフに育成契約を結んだ。今季は課題を着実にクリアし、支配下復帰に向けて前進したい。"
"板山　祐太郎","中日ドラゴンズ","神奈川","B","11","2,200万円（推定）","ユーティリティー性が武器の内野手。昨季は内外野4つのポジションをこなし、自己最多の84試合に出場。5月18日に代打逆転2ランを放つなど、要所での活躍が光った。今季も与えられた役割を果たし、チームの勝利に貢献する。"
"上林　誠知","中日ドラゴンズ","埼玉","O","13","4,600万円（推定）","移籍2年目の昨季は134試合に出場し、打率.270、17本塁打をマーク。リーグ2位の27盗塁を記録するなど、走攻守で高いパフォーマンスを発揮した。チームを上位進出へ導くべく、今季も打線をけん引したい。"
"岩城　颯空","埼玉西武ライオンズ","富山","A","1","","がっちりとした体格から力強い直球を投げ込む新人左腕。中央大では4年秋に先発、救援合わせて7試合に登板。防御率2.43を記録し、イニング数以上の三振を奪った。プロでも与えられた役割で結果を残し、チームの勝利に貢献する。"
"上田　大河","埼玉西武ライオンズ","三重","A","3","1,250万円（推定）","多彩な変化球を投げ分ける若手右腕。昨季は開幕ローテーション入りを果たすも、登板は4試合止まり。白星は挙げられずにシーズンを終えた。3年目の今季はストレートに磨きをかけ、プロ初勝利を目指す。"
"長坂　拳弥","阪神タイガース","群馬","B","10","1,200万円（推定）","強肩に定評のある捕手。前年に右肘を手術して臨んだ昨季は、一軍での出場が1試合止まり。二軍でも盗塁阻止率が振るわないなど、アピール不足に終わった。10年目の今季は首脳陣からの信頼を高め、より多くの試合でマスクをかぶりたい。"
"濱田　太貴","阪神タイガース","福岡","A","8","1,600万円（推定）","パンチ力のある打撃が光る外野手。ヤクルトでプレーした昨季は開幕から不振が続き、4月中旬に登録抹消を経験。8月末の一軍再昇格後は打率.256、4本塁打と一定の結果を残した。新天地で迎える今季は、年間を通して戦力になりたい。"
"西　純矢","阪神タイガース","広島","O","7","1,500万円（推定）","投手登録だった昨季は2月に右肘を手術するも、実戦への復帰は果たせず。レギュラーシーズン終了後に野手転向を決め、育成選手として契約を結び直した。打撃のポテンシャルを開花させるべく、まずは猛練習に取り組む。"
"仲田　慶介","埼玉西武ライオンズ","福岡","A","5","1,200万円（推定）","内外野の複数ポジションを守るスイッチヒッター。新天地で迎えた昨季は春先からアピールを重ね、開幕前に支配下へ昇格。60試合に出場し、プロ初盗塁や初打点をマークした。今季も走攻守で技術を磨き、監督のあらゆる起用に応えたい。"
"西村　瑠伊斗","東京ヤクルトスワローズ","京都","B","4","700万円（推定）","非凡なパワーを秘めた若手スラッガー。昨季は二軍で100試合に出場し、4本塁打を記録。9月30日には一軍でプロ初ヒットとなるタイムリーを放ち、確かな成長を示した。今季は池山新監督の期待に応え、レギュラー争いに参戦する。"
"岡本　駿","広島東洋カープ","徳島","AB","2","2,000万円（推定）","鋭く落ちるツーシームを操る若手右腕。昨季はチームの新人で唯一の開幕一軍入り。41試合に救援登板し、防御率2.88と堂々たるピッチングを披露した。本格的に先発へ転向する今季は、ローテーション争いに名乗りを上げる。"
"岡城　快生","阪神タイガース","岡山","O","1","","自慢の快足を生かしたプレーが魅力のルーキー。大学時代は3年秋のリーグ戦から3季連続で打率.350以上を記録。昨春は11試合で7盗塁を決めるなど、持ち味を存分に見せつけた。プロの世界でもアピールを重ね、一軍の舞台を目指す。"
"内山　壮真","東京ヤクルトスワローズ","富山","O","6","4,400万円（推定）","優れた選球眼とパンチ力を備えたユーティリティー。オフに腰の手術を受けて臨んだ昨季は、主にレフトを守り116試合に出場。初めて規定打席に到達し、キャリアハイの8本塁打を記録した。今季も首脳陣の起用に応え、打線を引っ張る。"
"東浜　巨","福岡ソフトバンクホークス","沖縄","A","14","11,000万円（推定）","豊富な球種を操るベテラン右腕。昨季は7試合の登板で4勝をマーク。防御率2.51を残すなど、限られた出番の中で安定感を発揮した。FA権を行使しての残留を経て臨む今季は、熟練の投球術を武器にローテーション争いを勝ち抜きたい。"
"杉山　諒","千葉ロッテマリーンズ","愛知","O","1","","俊足巧打を武器に躍動する育成外野手。大学時代はリーグ戦で通算106安打を放ち、打率.348をマーク。昨夏は日米大学野球選手権でもプレーした。プロでも持ち味をアピールし、1年目から支配下登録を目指す。"
"田中　晴也","千葉ロッテマリーンズ","新潟","不明","4","2,300万円（推定）","昨季は開幕から先発陣をけん引。コンディション不良により一軍登板は8月3日が最後となったものの、13試合の先発で防御率2.48をマークした。4年目の今季も力強い直球を軸に三振を量産し、ローテーションの柱へと成長を遂げる。"
"池田　隆英","北海道日本ハムファイターズ","佐賀","B","10","5,200万円（推定）","気迫に満ちた投球が魅力の右腕。昨季は24試合に登板し、防御率2.45を記録。シーズン序盤は勝ちパターンに加わるも、交流戦後は二軍での調整が続いた。今季は本来のピッチングを取り戻し、再び勝利の方程式の一翼を担いたい。"
"石川　慎吾","千葉ロッテマリーンズ","大阪","O","15","2,300万円（推定）","パンチ力のある打撃が売りの外野手。昨季は二軍で3割近くの打率を残したものの、一軍では打率.086と低迷。出場は移籍後最少の14試合にとどまった。今季は一軍の投手陣に対しても結果を残し、チームの戦力となりたい。"
"泉　圭輔","読売ジャイアンツ","石川","A","8","3,500万円（推定）","力強いストレートを投げ下ろす右腕。昨季は防御率5.84と精彩を欠き、登板は10試合止まり。特に左打者に対して被打率.478と課題を残した。先発に挑戦する今季は首脳陣へのアピールを続け、チームへの貢献度を高めたい。"
"安德　駿","福岡ソフトバンクホークス","福岡","B","2","980万円（推定）","空振りを奪えるストレートが魅力の若手右腕。昨季は入団前に発症した右肘炎症の影響で出遅れ、公式戦の登板は二軍での5試合止まり。夏場以降は体づくりが中心となった。2年目の今季は状態を万全にし、一軍のマウンドに上がりたい。"
"石塚　綜一郎","福岡ソフトバンクホークス","秋田","B","7","900万円（推定）","強烈な打球を放つスラッガー。昨季は8月にファーム月間MVPに輝くなど、二軍で打率.352をマーク。ブレークの兆しを見せるも、一軍では24試合の出場にとどまった。今季はさらなるスケールアップを図り、定位置争いに加わりたい。"
"阿部　翔太","オリックス・バファローズ","大阪","B","6","3,700万円（推定）","強気な姿勢で打者に立ち向かう右腕。昨季は疲労骨折の影響で出遅れ、開幕は二軍スタート。一軍での登板はわずか16試合にとどまるなど、悔しいシーズンを送った。投球フォームを変更して臨む今季は、一軍のマウンドで躍動したい。"
"有薗　直輝","北海道日本ハムファイターズ","千葉","O","5","730万円（推定）","広角に長打を連発する若手内野手。昨季は二軍で首位打者、本塁打王、最高出塁率のタイトルを獲得。8月には一軍で待望のプロ初安打を放った。今季はさらなる進化を遂げ、第一線でアーチを描きたい。"
"安西　叶翔","北海道日本ハムファイターズ","京都","A","4","530万円（推定）","小さく変化するボールが持ち味の育成右腕。昨季は前年に受けた右肘の手術から9月に実戦復帰。その後は秋季教育リーグでも登板し、回復ぶりを示した。今季はキャンプからアピールを重ね、支配下登録へ返り咲きたい。"
"西野　勇士","千葉ロッテマリーンズ","富山","A","18","15,000万円（推定）","キレのある変化球が持ち味のベテラン右腕。昨季は前半戦で8試合に先発するも、6月に故障で離脱。後半戦は1試合の登板にとどまり、未勝利でシーズンを終えた。今季は万全のコンディションを保ち、投手陣を支えたい。"
"中村　稔弥","福岡ソフトバンクホークス","長崎","A","8","2,000万円（推定）","大きく沈むツーシームが持ち味の左腕。ロッテに所属した昨季は、ロングリリーフをこなすなど15試合に登板。まずまずの成績を残したものの、一軍定着とはならなかった。新天地で迎える今季は、年間を通してチームの力になりたい。"
"庄子　雄大","福岡ソフトバンクホークス","神奈川","O","2","1,300万円（推定）","スピードを生かしたプレーが魅力の若手内野手。ルーキーイヤーの昨季は、主に代走や守備固めで26試合に出場。7月10日にはプロ初スタメンで初安打、初盗塁を記録した。今季はバッティングを鍛え、定位置争いに割って入る。"
"達　孝太","北海道日本ハムファイターズ","大阪","B","5","4,200万円（推定）","長身から繰り出すフォークが武器の若手右腕。昨季はNPB新記録となる、デビューから先発のみでの7連勝を達成。最終的に防御率2.09で8勝を挙げるなど、ブレークを果たした。今季も強気の投球で打者をねじ伏せ、白星を積み重ねる。"
"中田　歩夢","読売ジャイアンツ","青森","A","4","420万円（推定）","抜群の身体能力を誇る育成内野手。昨季は春先にケガで離脱したこともあり、7月までは主に三軍で調整。その後二軍に合流してからは、打率.269と一定の成績を残した。今季はバッティングをさらに磨き、早期の支配下復帰を狙う。"
"大貫　晋一","横浜DeNAベイスターズ","神奈川","AB","8","6,300万円（推定）","鋭く落ちるスプリットで凡打の山を築く右腕。昨季は6月に2年ぶりの完封勝利を挙げるも、7月下旬にコンディション不良で離脱。10月には右肩のクリーニング手術を受けた。今季は万全の状態で開幕を迎え、ローテーションを支えたい。"
"今坂　幸暉","オリックス・バファローズ","山口","O","2","250万円（推定）","高い身体能力を誇る育成内野手。高卒1年目の昨季は二軍で18試合に出場。打率.140に終わったものの、放った6安打のうち5本が長打とパンチ力を示した。今季はコンタクト力を高め、支配下登録へ向けてアピールしたい。"
"エドポロ　ケイン","北海道日本ハムファイターズ","大阪","不明","1","","恵まれた体格を誇る将来の主軸候補。大阪学院大では1年春からリーグ戦に出場し、通算11本塁打を記録。4年時には主将としてチームをけん引した。プロの世界ではミート技術を磨き、一軍デビューに備える。"
"井上　朋也","福岡ソフトバンクホークス","大阪","A","6","930万円（推定）","巧みなバットさばきを見せる若手選手。昨季は二軍で96試合に出場し、打率.276、6本塁打を記録。外野の守備にも挑戦してプレーの幅を広げるも、一軍での出番は限られた。今季は春先からアピールを続け、出場機会を増やしたい。"
"大里　昂生","オリックス・バファローズ","岩手","O","5","1,900万円（推定）","複数ポジションをこなす内野手。昨季は7月に一軍再昇格を果たし、同月は打率.300をマーク。外野の守備にも就くなど存在感を示すも、オフに右肩を痛めて手術を受けた。育成選手として迎える今季は、状態を整えて実戦復帰を目指す。"
"大津　亮介","福岡ソフトバンクホークス","福岡","B","4","6,800万円（推定）","多彩な球種を操る右腕。昨季は12試合の先発にとどまるも、防御率1.92を記録。夏場から本領を発揮し、日本シリーズでも白星を挙げた。今季は年間を通してローテーションの座を守り抜き、自身初の2ケタ勝利を目指す。"
"宇都宮　葵星","読売ジャイアンツ","愛媛","A","3","440万円（推定）","非凡な打撃センスと脚力を備える育成出身内野手。昨季は二軍で84試合に出場し、打率.289、20盗塁を記録。今季は春先から実戦でアピールを重ね、開幕前に支配下契約をつかんだ。今後も技術の向上に励み、あらゆる起用に応えたい。"
"中澤　恒貴","福岡ソフトバンクホークス","東京","O","3","360万円（推定）","安定した守備力と巧打が光る育成内野手。昨季は二軍で22試合に出場し、打率.327をマーク。秋季教育リーグではオイシックスに派遣され、実戦を重ねた。今季も攻守でレベルアップを続け、支配下契約を勝ち取りたい。"
